字段1,name,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14
https://yt3.ggpht.com/a/AGF-l7_0jpsEuAwhYFalOB3T4zx8MLFPhBej7c2yMw=s88-c-k-c0xffffffff-no-rj-mo,Mathrubhumi News,"37,469","998,150","386,339,915",IN,News,"Feb 9th, 2013",B+,"15,419th","8,582nd","4,350th",$6.2K - $99.6K,$74.7K - $1.2M
https://yt3.ggpht.com/a/AGF-l78WQZ1tTV9DJb8SDIiz75gEtBNknX6qT5RqDg=s88-c-k-c0xffffffff-no-rj-mo,Kabita's Kitchen,683,"5,438,225","825,900,890",IN,Howto,"Oct 7th, 2014",B+,"1,282nd","3,458th","4,351st",$6.8K - $108.7K,$81.5K - $1.3M
https://yt3.ggpht.com/a/AGF-l78SWVhapBGE6uQG3Of9TB4t1-BRCRdu45zSFw=s88-c-k-c0xffffffff-no-rj-mo,Кинокомпания «Русское»,"1,391","1,350,835","921,722,376",RU,Film,"Dec 30th, 2014",B+,"9,933rd","2,964th","4,352nd",$6.5K - $103.6K,$77.7K - $1.2M
https://yt3.ggpht.com/a/AGF-l7_yxsP8GqG8pLnB_unfQKNCLxQfz0G514YrAg=s88-c-k-c0xffffffff-no-rj-mo,TomoNews Indonesia,"5,427","1,860,813","810,324,029",ID,Entertainment,"Oct 23rd, 2015",B+,"6,541st","3,511th","4,353rd",$6K - $96.6K,$72.5K - $1.2M
https://yt3.ggpht.com/a/AGF-l7_nCK1swTQLVbB9YIp-jZCmpmiR61qwnFN0NQ=s88-c-k-c0xffffffff-no-rj-mo,NishaMadhulika,"1,437","7,497,685","1,398,264,872",IN,Howto,"Aug 2nd, 2009",B+,754th,"1,684th","4,354th",$7K - $111.6K,$83.7K - $1.3M
https://yt3.ggpht.com/a/AGF-l794vypT2gr1a9UMz8k6l9js1EN_MBFkdZk74Q=s88-c-k-c0xffffffff-no-rj-mo,PHIM HAY - Phụ Nữ & Gia Đình,360,"540,229","299,289,012",VN,Film,"Dec 12th, 2017",B+,"28,575th","14,098th","4,355th",$4K - $64.4K,$48.3K - $772.7K
https://yt3.ggpht.com/a/AGF-l7-_kTgeYPIfox96Kpv_7SNLU9A_f-jFlprGyA=s88-c-k-c0xffffffff-no-rj-mo,BRAIN TIME,242,"1,238,035","284,463,109",,,"Sep 28th, 2017",B+,"13,716th","14,527th","4,356th",$4.6K - $74.3K,$55.7K - $891.7K
https://yt3.ggpht.com/a/AGF-l7-a6tEni_VhIsy3Mapd6Cldz8knPTaQsY6vuA=s88-c-k-c0xffffffff-no-rj-mo,NOON Channel - قناة نون,"1,690",0,"896,206,316",AE,Music,"May 29th, 2013",B+,"28,766,777th","3,010th","4,357th",$5.9K - $94.1K,$70.5K - $1.1M
https://yt3.ggpht.com/a/AGF-l789e78Qb7Y82Nz336VaJwj4WCT3xv40H7Uhhw=s88-c-k-c0xffffffff-no-rj-mo,FOX,"2,162","1,063,553","382,223,843",US,Entertainment,"Sep 20th, 2006",B+,"11,542nd","8,243rd","4,358th",$612 - $9.8K,$7.3K - $117.4K
https://yt3.ggpht.com/a/AGF-l7-LTGpPCOtguabwAO9wSaN0jGNL7D6tjVZ-gQ=s88-c-k-c0xffffffff-no-rj-mo,Diy Random,5,"217,255","968,247",US,,"Sep 6th, 2018",B+,"69,539th","225,239th","4,358th",$0 - $0,$0 - $0
